_id.courseId,_id.sectionId,_id.unitId,wrong,correct
26,1,3,1,18
26,1,4,19,18
26,1,5,4,16
26,1,6,3,16
26,1,7,9,16
26,2,10,5,13
26,2,2,6,16
26,2,3,1,15
26,2,4,17,15
26,2,6,4,13
26,2,7,15,13
26,2,8,9,13
26,3,2,4,13
26,3,3,1,13
26,4,10,2,11
26,4,11,6,11
26,4,13,6,10
26,4,14,2,10
26,4,16,7,10
26,4,17,6,9
26,4,3,7,11
26,4,4,6,11
26,4,5,13,10
26,4,6,9,10
26,4,7,9,10
26,4,9,17,11
26,5,2,2,8
26,5,3,1,8
26,5,5,2,8
26,6,2,5,7
26,6,3,7,7
28,1,13,20,68
28,1,15,49,61
28,1,4,53,133
28,1,5,27,130
28,3,4,2,23
28,3,5,13,24
34,1,3,63,36
34,1,4,34,34
34,1,5,6,35
34,1,7,52,31
34,1,8,3,17
34,2,2,19,17
34,2,3,2,17
34,2,6,5,15
34,2,7,4,15
34,2,9,18,15
34,3,2,5,13
34,3,3,13,13
34,3,5,6,12
34,3,6,3,11
34,5,2,2,6
34,5,5,2,6
34,5,6,3,7
39,1,3,178,143
39,1,4,70,146
39,2,2,194,125
39,2,3,34,121
39,2,6,102,95
39,2,7,50,93
39,3,10,34,44
39,3,2,30,50
39,3,3,32,50
39,3,5,28,50
39,3,6,54,51
39,3,8,3,46
39,3,9,3,46
39,4,2,12,37
39,4,3,24,36
39,4,6,33,33
39,4,7,12,36
39,4,8,12,37
39,5,3,37,29
39,5,4,21,29
39,5,5,22,28
39,5,6,14,26
43,2,10,1,10
43,2,2,13,13
43,2,3,6,12
43,2,4,3,12
43,2,9,1,11
43,3,12,1,7
43,3,13,23,7
43,3,15,8,7
43,3,16,3,7
43,3,18,1,7
43,3,19,1,7
43,3,2,5,8
43,3,3,8,8
43,3,4,7,9
43,4,10,12,4
43,4,11,7,4
43,4,13,12,6
43,4,15,15,6
43,4,16,9,5
43,4,2,4,5
43,4,3,8,6
43,4,5,11,6
43,4,6,4,5
43,4,8,3,5
43,5,2,4,5
43,5,4,4,5
43,5,6,5,5
43,5,7,2,5
43,6,2,5,6
43,6,3,6,6
46,1,2,506,655
46,1,3,364,650
46,1,4,433,633
46,2,2,246,495
46,2,3,274,489
46,2,4,212,486
46,2,5,361,484
46,2,6,541,481
46,2,7,530,481
46,2,8,239,474
46,3,11,117,237
46,3,14,278,205
46,3,15,183,199
46,3,16,182,192
46,3,17,251,192
46,3,19,118,184
46,3,2,171,374
46,3,20,94,190
46,3,21,57,186
46,3,4,320,322
46,3,6,353,291
46,3,7,304,289
46,3,9,100,267
46,4,3,166,170
46,4,4,56,169
46,4,5,123,172
54,1,11,27,15
54,1,3,11,18
54,1,4,23,17
54,1,5,3,16
54,1,9,21,17
54,2,10,2,7
54,2,11,7,7
54,2,2,5,8
54,2,3,13,8
54,2,7,13,7
54,2,8,8,7
54,3,11,21,8
54,3,12,4,8
54,3,14,4,8
54,3,15,5,8
54,3,17,2,7
54,3,2,5,8
54,3,3,12,7
54,3,5,7,8
54,3,6,6,7
54,3,8,10,8
54,3,9,11,8
54,4,3,5,6
54,4,6,6,5
54,4,7,1,5
54,5,4,2,4
54,5,5,2,4
55,1,3,36,68
55,1,4,48,67
55,1,5,84,67
55,1,6,11,68
55,2,3,3,15
55,2,5,9,14
55,3,10,9,10
55,3,11,13,10
55,3,15,7,9
55,3,16,2,10
55,3,2,19,10
55,3,3,11,11
55,3,5,8,10
55,3,6,21,9
55,3,7,5,9
55,4,2,1,11
55,4,3,3,11
55,6,2,4,9
55,6,3,7,9
